Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.0032,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.001,2,0.001
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.336e+00,7.99999e-05,0.00018,-1.56,2.98023e-12
-2.333e+00,-0.00016,0.0001,-1.4,0.00012
-2.330e+00,-0.00016,-0.00014,-1.16,0.00016
-2.326e+00,-8.00001e-05,-2e-05,-1,-8e-05
-2.323e+00,-8.00001e-05,0.00014,-0.76,-8e-05
-2.320e+00,-9.53674e-11,0.00022,-0.6,-4e-05
-2.317e+00,-9.53674e-11,0.00018,-0.36,-8e-05
-2.314e+00,-9.53674e-11,0.00014,-0.2,-0.00016
-2.310e+00,-9.53674e-11,0.00014,0.04,-4e-05
-2.307e+00,-0.00016,0.0001,0.2,-8e-05
-2.304e+00,-0.00016,0.00014,0.44,-4e-05
-2.301e+00,-8.00001e-05,-2e-05,0.6,-8e-05
-2.298e+00,-0.00024,0.00014,0.76,-0.00012
-2.294e+00,-9.53674e-11,0.00026,0.92,-0.00012
-2.291e+00,-9.53674e-11,0.00014,1.16,-8e-05
-2.288e+00,-0.00016,0.0001,1.4,-8e-05
-2.285e+00,-8.00001e-05,0.0001,1.4,-4e-05
-2.282e+00,-8.00001e-05,0.00018,1.16,-0.00012
-2.278e+00,-0.00016,2e-05,1,-4e-05
-2.275e+00,-0.00016,6e-05,0.84,0.00016
-2.272e+00,-8.00001e-05,6e-05,0.6,-8e-05
-2.269e+00,7.99999e-05,0.0003,0.44,2.98023e-12
-2.266e+00,-0.00016,2e-05,0.2,2.98023e-12
-2.262e+00,-8.00001e-05,0.00014,0.04,-0.00016
-2.259e+00,-0.00016,6e-05,-0.2,-4e-05
-2.256e+00,-8.00001e-05,6e-05,-0.36,2.98023e-12
-2.253e+00,-9.53674e-11,-2e-05,-0.6,-4e-05
-2.250e+00,-0.00016,0.0001,-0.76,-4e-05
-2.246e+00,-0.00016,-2e-05,-0.92,8e-05
-2.243e+00,-0.00024,0.0001,-1.16,-8e-05
-2.240e+00,-8.00001e-05,0.0001,-1.32,0.00012
-2.237e+00,-9.53674e-11,0.00014,-1.56,8e-05
-2.234e+00,-9.53674e-11,-2e-05,-1.4,0.00012
-2.230e+00,-9.53674e-11,-6e-05,-1.24,-0.00016
-2.227e+00,-9.53674e-11,2e-05,-1.08,8e-05
-2.224e+00,-0.00016,0.00022,-0.84,8e-05
-2.221e+00,-8.00001e-05,0.00026,-0.6,8e-05
-2.218e+00,-8.00001e-05,2e-05,-0.44,2.98023e-12
-2.214e+00,-8.00001e-05,0.00014,-0.28,-8e-05
-2.211e+00,-9.53674e-11,0.00022,-0.04,-0.00016
-2.208e+00,-9.53674e-11,2e-05,0.12,2.98023e-12
-2.205e+00,-8.00001e-05,0.00014,0.36,-4e-05
-2.202e+00,-8.00001e-05,0.00026,0.52,4e-05
-2.198e+00,-8.00001e-05,-2e-05,0.68,-4e-05
-2.195e+00,-0.00024,2e-05,0.92,4e-05
-2.192e+00,-0.00016,0.00014,1.08,-0.0002
-2.189e+00,-8.00001e-05,0.0001,1.32,2.98023e-12
-2.186e+00,-8.00001e-05,6e-05,1.48,2.98023e-12
-2.182e+00,-9.53674e-11,0.00018,1.24,0.00024
-2.179e+00,-8.00001e-05,2e-05,1.08,-4e-05
-2.176e+00,-0.00016,2e-05,0.84,8e-05
-2.173e+00,-0.00016,2e-05,0.68,-0.00016
-2.170e+00,-0.00016,0.0001,0.44,-0.00016
-2.166e+00,7.99999e-05,0.0001,0.28,4e-05
-2.163e+00,-0.00016,-6e-05,0.04,-4e-05
-2.160e+00,-0.00016,6e-05,-0.12,-8e-05
-2.157e+00,-8.00001e-05,-2e-05,-0.28,-8e-05
-2.154e+00,-9.53674e-11,0.00022,-0.52,-4e-05
-2.150e+00,-9.53674e-11,-2e-05,-0.68,-0.00016
-2.147e+00,-9.53674e-11,0.0001,-0.92,-8e-05
-2.144e+00,-9.53674e-11,0.0001,-1.08,2.98023e-12
-2.141e+00,-9.53674e-11,0.00014,-1.32,4e-05
-2.138e+00,-9.53674e-11,0.00022,-1.48,4e-05
-2.134e+00,-8.00001e-05,0.00014,-1.48,-4e-05
-2.131e+00,-0.00016,2e-05,-1.24,-0.00012
-2.128e+00,-0.00016,0.00014,-1.08,-4e-05
-2.125e+00,-8.00001e-05,-2e-05,-0.84,0.00016
-2.122e+00,-8.00001e-05,0.00034,-0.68,-0.00012
-2.118e+00,-0.00016,0.0001,-0.52,-8e-05
-2.115e+00,-8.00001e-05,0.00026,-0.36,2.98023e-12
-2.112e+00,-9.53674e-11,-0.00014,-0.04,2.98023e-12
-2.109e+00,-8.00001e-05,2e-05,0.12,2.98023e-12
-2.106e+00,-9.53674e-11,6e-05,0.28,-4e-05
-2.102e+00,-8.00001e-05,0.00014,0.52,4e-05
-2.099e+00,-8.00001e-05,-6e-05,0.68,-0.00012
-2.096e+00,-8.00001e-05,2e-05,0.92,-0.00012
-2.093e+00,-8.00001e-05,0.0001,1.08,2.98023e-12
-2.090e+00,-0.00016,0.00018,1.24,8e-05
-2.086e+00,-8.00001e-05,0.00026,1.48,0.00016
-2.083e+00,-8.00001e-05,0.0001,1.24,-0.00012
-2.080e+00,-0.00016,-0.0001,1.08,-0.00012
-2.077e+00,-8.00001e-05,0.00018,0.92,0.00012
-2.074e+00,-8.00001e-05,6e-05,0.68,-8e-05
-2.070e+00,-0.00016,-2e-05,0.52,2.98023e-12
-2.067e+00,-0.00032,0.00014,0.28,4e-05
-2.064e+00,-0.00016,2e-05,0.12,2.98023e-12
-2.061e+00,-8.00001e-05,0.0001,-0.04,-0.00012
-2.058e+00,-9.53674e-11,0.00014,-0.28,-0.00016
-2.054e+00,-8.00001e-05,0.0001,-0.44,4e-05
-2.051e+00,-9.53674e-11,6e-05,-0.68,2.98023e-12
-2.048e+00,7.99999e-05,6e-05,-0.84,2.98023e-12
-2.045e+00,-8.00001e-05,0.0001,-1.08,-0.00016
-2.042e+00,-8.00001e-05,0.00022,-1.24,8e-05
